Timestamp,Src IP,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,ACK Flag Cnt,PSH Flag Cnt,RST Flag Cnt,Label
05/07/2017 09:00:00,192.168.10.14,10.0.0.1,80,6,16286.0,4,8,220.0,1920.0,131320.56946489937,736.377025036819,0,1,1,0,Infiltration
05/07/2017 09:00:00,192.168.10.11,172.16.0.1,22,17,31714.0,14,8,5292.0,2104.0,233135.79624259233,693.4812760055478,1,0,1,0,Benign
05/07/2017 09:00:00,192.168.10.15,172.16.0.1,8080,17,3694.0,37,33,6549.0,22968.0,7968952.483801296,18898.488120950326,1,0,0,0,Benign
05/07/2017 09:00:01,192.168.10.2,172.16.0.1,443,6,29594.0,32,16,6688.0,10224.0,571274.1521416025,1621.4025131738956,0,0,0,0,Benign
05/07/2017 09:00:03,192.168.10.4,172.16.0.1,443,6,42879.0,33,36,29238.0,26748.0,1305369.6752080952,1608.8041222691131,0,1,1,0,Benign
05/07/2017 09:00:04,192.168.10.6,172.16.0.1,80,17,14083.0,31,37,9021.0,18278.0,1937060.9522457959,4825.090470446321,1,1,0,0,Infiltration
05/07/2017 09:00:01,192.168.10.7,172.16.0.1,20927,17,85.0,1,1,0.0,0.0,0.0,21052.631578947367,1,1,1,1,PortScan
05/07/2017 09:00:05,192.168.10.7,10.0.0.1,443,17,45133.0,21,38,17997.0,14782.0,726114.7907759785,1306.9578893737678,1,0,0,0,Benign
05/07/2017 09:00:07,192.168.10.14,10.0.0.1,80,6,3328.0,10,10,7238.0,690.0,2375074.8951467946,5991.611743559018,0,0,0,1,Web Attack - Brute Force
05/07/2017 09:00:03,192.168.10.8,172.16.0.1,80,6,23210.0,30,7,6210.0,3528.0,419379.8449612403,1593.4539190353144,0,1,0,0,Benign
05/07/2017 09:00:07,192.168.10.3,172.16.0.1,8080,17,1295.0,15,32,10155.0,26176.0,27839846.74329502,36015.32567049809,0,0,1,0,Benign
05/07/2017 09:00:01,192.168.10.9,10.0.0.1,21,6,48139.0,33,15,22770.0,7965.0,638331.0141435958,996.9054393653034,0,0,1,0,Benign
05/07/2017 09:00:10,192.168.10.1,10.0.0.1,22,17,39041.0,7,7,4305.0,4389.0,222631.94284397326,358.5055440321631,0,1,0,0,Benign
05/07/2017 09:00:01,192.168.10.9,172.16.0.1,3389,17,51684.0,5,26,3060.0,16406.0,376562.0768367702,599.6827484814485,0,1,1,0,Benign
05/07/2017 09:00:09,192.168.10.11,10.0.0.1,21,6,57076.0,35,38,10990.0,3268.0,249763.5146971236,1278.772378516624,0,1,1,0,Benign
05/07/2017 09:00:13,192.168.10.11,10.0.0.1,21,6,10276.0,29,11,11687.0,5830.0,1702994.3612677425,3888.7808671981334,1,0,0,0,Benign
05/07/2017 09:00:04,192.168.10.14,172.16.0.1,21,17,122.0,2,29,1062.0,25491.0,201159090.9090909,234848.48484848483,0,1,1,0,Benign
05/07/2017 09:00:15,192.168.10.12,10.0.0.1,21,6,28133.0,13,35,9321.0,16905.0,931883.5944995204,1705.5750986035605,1,0,1,0,Benign
05/07/2017 09:00:09,192.168.10.13,172.16.0.1,443,6,7458.0,28,7,5936.0,6286.0,1636582.7530798072,4686.663095875737,1,0,0,0,Infiltration
05/07/2017 09:00:05,192.168.10.15,10.0.0.1,80,6,24193.0,29,30,7192.0,15210.0,925587.7370573896,2437.7143329339337,0,0,1,0,Benign
05/07/2017 09:00:04,192.168.10.3,172.16.0.1,8080,6,46575.0,31,38,8587.0,13870.0,482065.0423956209,1481.163464634539,0,1,0,0,Benign
